혼인여부 및 배우자 학력,아버지 학력,어머니 학력,부모님 소득,부모님 자산,가정의 경제적 지원
0.0,5,5,5,3,0.0
0.0,7,4,3,2,0.0
0.0,6,6,7,2,30.0
0.0,4,6,6,3,0.0
0.0,7,4,6,4,50.0
0.0,4,4,6,3,0.0
0.0,7,7,7,4,0.0
0.0,7,5,8,5,0.0
0.0,4,4,5,1,0.0
0.0,5,5,7,6,0.0
0.0,7,7,4,2,40.0
0.0,6,4,4,3,0.0
0.0,6,6,6,2,0.0
0.0,6,4,5,2,0.0
0.0,4,4,5,3,0.0
0.0,4,3,2,3,30.0
0.0,6,6,3,3,40.0
0.0,6,3,0,2,30.0
0.0,5,6,3,2,0.0
0.0,4,4,5,3,0.0
0.0,4,4,6,6,0.0
0.0,4,4,5,5,0.0
0.0,4,4,3,3,0.0
0.0,4,4,4,4,0.0
0.0,6,4,4,4,0.0
0.0,4,3,1,1,25.0
0.0,4,4,5,5,0.0
0.0,4,4,5,4,0.0
0.0,5,4,2,4,0.0
0.0,4,3,4,3,0.0
0.0,2,3,7,6,0.0
0.0,6,6,7,4,0.0
0.0,6,6,8,5,50.0
0.0,6,4,4,3,0.0
0.0,4,3,3,3,0.0
0.0,4,5,2,1,0.0
0.0,6,4,5,3,0.0
0.0,6,4,4,1,0.0
0.0,4,5,0,4,0.0
4.0,3,4,2,4,0.0
0.0,4,4,5,3,0.0
0.0,4,4,5,4,0.0
0.0,6,4,5,3,0.0
0.0,4,3,1,1,20.0
0.0,2,4,3,3,0.0
0.0,7,4,6,4,0.0
0.0,6,5,4,2,60.0
0.0,6,6,6,5,0.0
0.0,4,3,3,3,0.0
0.0,6,4,2,4,0.0
0.0,4,4,2,2,15.0
0.0,4,4,7,5,0.0
0.0,2,2,3,1,0.0
0.0,4,4,5,4,0.0
0.0,4,4,6,3,20.0
6.0,4,3,3,5,0.0
0.0,7,5,3,3,0.0
0.0,7,6,7,5,0.0
0.0,6,6,7,5,30.0
0.0,6,4,6,2,0.0
0.0,6,6,6,6,0.0
0.0,6,6,3,5,0.0
0.0,7,6,6,4,0.0
0.0,4,4,8,5,0.0
0.0,4,4,4,3,50.0
0.0,4,2,6,5,120.0
0.0,7,6,1,2,0.0
0.0,4,4,8,6,100.0
0.0,7,6,8,5,60.0
0.0,6,4,1,2,0.0
0.0,4,4,1,3,0.0
0.0,4,4,1,4,0.0
0.0,6,6,2,4,0.0
0.0,4,4,5,3,0.0
0.0,4,4,3,3,0.0
0.0,6,6,5,1,0.0
0.0,4,4,5,4,0.0
0.0,6,4,5,2,40.0
0.0,6,6,1,3,0.0
0.0,4,4,5,4,0.0
0.0,4,4,4,3,20.0
0.0,4,3,3,4,0.0
0.0,5,4,6,4,0.0
0.0,3,3,7,4,0.0
0.0,4,4,4,3,30.0
0.0,6,4,4,4,0.0
0.0,3,4,3,3,0.0
0.0,6,6,8,6,0.0
0.0,6,7,6,4,30.0
0.0,6,4,6,5,0.0
0.0,6,4,3,2,30.0
0.0,6,6,6,4,0.0
0.0,6,6,7,4,0.0
0.0,2,2,4,1,0.0
0.0,6,6,5,2,0.0
0.0,4,4,0,3,40.0
0.0,6,5,3,3,10.0
0.0,2,3,6,3,0.0
0.0,4,5,5,2,0.0
0.0,4,4,2,2,0.0
0.0,4,3,2,3,0.0
0.0,6,6,7,2,0.0
0.0,6,6,8,6,60.0
0.0,7,7,7,6,0.0
0.0,5,4,3,4,0.0
0.0,4,4,6,2,0.0
0.0,7,6,8,2,40.0
0.0,6,6,4,1,0.0
0.0,5,3,4,3,0.0
0.0,6,6,6,2,0.0
0.0,4,4,6,2,0.0
0.0,6,4,4,4,0.0
0.0,4,4,6,2,0.0
0.0,3,2,2,2,0.0
0.0,6,4,5,4,0.0
0.0,5,4,4,3,0.0
0.0,4,4,4,2,0.0
0.0,7,6,4,2,0.0
0.0,3,4,5,3,0.0
0.0,6,6,5,5,0.0
0.0,4,4,6,4,15.0
0.0,6,4,7,6,0.0
0.0,6,4,6,4,0.0
0.0,6,4,8,3,0.0
0.0,6,4,4,2,0.0
0.0,4,4,3,2,0.0
0.0,4,4,2,5,0.0
0.0,4,4,4,3,0.0
0.0,4,4,5,3,0.0
0.0,4,4,7,4,0.0
0.0,3,4,3,5,0.0
0.0,4,4,4,5,0.0
0.0,4,3,4,2,0.0
0.0,7,4,8,6,90.0
0.0,6,6,6,4,40.0
0.0,5,4,5,3,0.0
0.0,3,3,4,3,0.0
0.0,4,4,4,3,0.0
0.0,4,4,4,3,0.0
0.0,4,5,5,4,0.0
0.0,4,4,6,4,0.0
0.0,6,4,5,3,0.0
0.0,3,4,6,3,0.0
0.0,6,4,4,3,30.0
0.0,6,6,7,4,0.0
0.0,4,4,3,1,60.0
0.0,6,6,8,5,0.0
0.0,4,4,2,1,0.0
0.0,6,4,6,2,100.0
0.0,5,4,5,3,0.0
0.0,6,6,5,5,70.0
0.0,4,4,4,3,0.0
0.0,4,4,7,5,0.0
0.0,7,6,5,2,0.0
0.0,4,4,5,3,30.0
0.0,6,4,2,5,0.0
0.0,6,5,5,4,0.0
0.0,4,4,4,2,0.0
0.0,6,6,6,4,0.0
0.0,4,4,2,2,0.0
0.0,4,4,4,1,0.0
0.0,5,5,5,3,0.0
0.0,4,4,0,1,0.0
0.0,4,4,4,5,0.0
0.0,3,3,7,5,0.0
0.0,6,6,5,3,0.0
0.0,3,4,2,1,0.0
0.0,6,6,8,6,50.0
0.0,7,7,7,4,0.0
0.0,4,4,6,3,35.0
4.0,1,1,0,0,0.0
6.0,6,6,5,5,0.0
0.0,4,4,4,1,0.0
0.0,5,5,3,3,0.0
0.0,3,4,4,3,0.0
0.0,3,1,6,3,60.0
0.0,6,4,7,5,0.0
0.0,6,4,6,4,0.0
0.0,5,4,5,5,0.0
0.0,3,3,4,3,0.0
0.0,4,4,6,5,0.0
0.0,5,4,5,5,0.0
0.0,6,4,6,6,0.0
0.0,7,7,8,5,0.0
0.0,4,4,4,1,0.0
0.0,4,4,5,3,0.0
0.0,4,6,8,5,0.0
0.0,4,4,0,1,0.0
0.0,4,4,3,2,60.0
0.0,7,6,0,6,0.0
0.0,6,6,7,5,0.0
0.0,6,3,5,4,0.0
0.0,4,4,3,3,0.0
0.0,6,4,4,2,120.0
0.0,6,6,4,4,0.0
0.0,6,5,1,5,0.0
6.0,4,4,1,5,0.0
0.0,5,4,3,2,0.0
0.0,6,7,7,6,130.0
0.0,6,4,6,4,0.0
0.0,6,4,6,1,0.0
0.0,6,4,5,4,0.0
0.0,4,4,5,2,35.0
0.0,6,4,5,4,0.0
0.0,4,4,1,2,0.0
0.0,6,4,5,3,20.0
0.0,3,3,3,2,0.0
0.0,4,3,2,5,0.0
0.0,4,4,4,4,0.0
0.0,6,4,5,2,0.0
0.0,4,4,2,4,0.0
0.0,4,4,4,1,30.0
0.0,4,4,4,2,0.0
0.0,5,4,4,1,20.0
0.0,4,4,3,1,0.0
0.0,4,4,8,5,0.0
0.0,6,4,5,4,0.0
0.0,6,6,8,4,0.0
0.0,6,4,4,1,10.0
0.0,4,4,1,1,10.0
0.0,4,6,4,4,0.0
0.0,4,3,1,1,0.0
0.0,3,4,0,6,0.0
0.0,6,6,8,6,0.0
0.0,4,4,5,5,0.0
0.0,4,4,4,2,0.0
0.0,7,5,2,1,0.0
0.0,7,7,7,4,10.0
0.0,7,7,3,1,50.0
6.0,1,1,4,4,0.0
0.0,4,3,3,2,0.0
0.0,2,4,3,3,10.0
0.0,4,3,2,2,0.0
0.0,4,4,4,2,15.0
0.0,3,4,3,3,10.0
0.0,4,4,4,3,50.0
0.0,2,4,3,3,0.0
0.0,4,4,0,2,5.0
0.0,6,4,7,2,0.0
0.0,4,4,3,5,0.0
0.0,4,3,4,2,0.0
6.0,6,6,1,1,0.0
0.0,4,4,5,1,0.0
0.0,4,4,3,2,0.0
0.0,6,4,5,2,0.0
0.0,6,6,4,3,50.0
0.0,6,4,2,3,0.0
0.0,7,6,5,3,0.0
0.0,4,4,2,1,0.0
0.0,4,4,4,4,0.0
0.0,7,3,6,5,0.0
0.0,6,3,3,3,0.0
0.0,2,2,2,2,0.0
0.0,3,3,2,1,0.0
0.0,4,4,6,4,0.0
0.0,6,4,5,4,0.0
0.0,4,4,3,3,0.0
7.0,7,5,3,3,0.0
0.0,3,4,2,1,0.0
0.0,6,4,2,2,0.0
0.0,5,4,6,3,30.0
0.0,5,5,6,3,0.0
6.0,2,2,3,3,0.0
0.0,6,4,2,1,10.0
0.0,2,2,0,1,0.0
6.0,2,2,2,3,0.0
0.0,4,4,6,4,0.0
0.0,4,4,6,4,0.0
0.0,4,4,4,1,20.0
0.0,6,5,4,4,0.0
0.0,6,4,0,5,0.0
0.0,7,7,8,6,50.0
0.0,6,6,2,2,0.0
0.0,4,4,8,4,0.0
0.0,4,4,2,1,20.0
0.0,4,4,3,2,10.0
0.0,4,3,4,3,130.0
0.0,4,4,4,3,0.0
0.0,6,6,4,4,0.0
0.0,7,6,6,6,60.0
0.0,6,6,8,5,0.0
0.0,6,4,2,1,30.0
0.0,4,4,4,3,0.0
0.0,4,4,6,5,0.0
0.0,4,4,2,3,0.0
0.0,4,4,4,4,0.0
0.0,4,4,0,1,0.0
0.0,6,4,4,2,0.0
0.0,3,4,4,4,0.0
0.0,7,6,6,1,100.0
0.0,4,4,7,3,0.0
0.0,6,6,7,4,0.0
0.0,6,6,2,4,0.0
0.0,7,6,8,5,0.0
0.0,6,4,3,3,10.0
0.0,4,6,2,1,0.0
0.0,7,6,7,6,100.0
0.0,4,4,3,4,60.0
0.0,6,5,7,6,0.0
0.0,7,6,4,3,0.0
0.0,6,6,6,3,50.0
0.0,6,6,5,5,0.0
0.0,2,7,3,1,0.0
0.0,7,4,3,2,30.0
0.0,4,5,7,4,0.0
0.0,4,4,6,4,0.0
0.0,6,4,8,6,0.0
0.0,6,4,4,4,0.0
0.0,5,5,5,3,80.0
0.0,4,4,3,4,40.0
0.0,3,5,4,5,0.0
0.0,5,4,7,4,0.0
0.0,6,4,5,3,30.0
0.0,4,6,4,3,0.0
0.0,6,6,5,4,0.0
0.0,6,4,8,6,0.0
0.0,2,6,4,1,0.0
0.0,6,4,8,6,20.0
0.0,6,6,3,3,30.0
0.0,4,4,6,4,0.0
0.0,7,6,3,2,0.0
0.0,6,7,7,5,0.0
0.0,6,6,3,3,0.0
0.0,6,6,2,6,40.0
0.0,4,4,5,3,0.0
0.0,6,6,4,2,0.0
0.0,4,2,5,3,50.0
0.0,6,6,7,4,0.0
0.0,6,6,4,5,0.0
0.0,6,4,0,5,0.0
0.0,6,6,8,5,0.0
6.0,6,6,5,4,0.0
0.0,5,4,6,3,0.0
0.0,7,6,8,4,0.0
0.0,6,6,6,5,0.0
0.0,7,7,8,2,60.0
0.0,6,6,5,2,0.0
0.0,7,6,7,6,0.0
0.0,5,5,5,3,0.0
0.0,4,4,2,1,0.0
0.0,4,5,3,3,0.0
0.0,5,5,3,1,0.0
0.0,5,4,5,2,0.0
6.0,3,2,3,3,10.0
0.0,4,5,2,4,0.0
6.0,5,4,4,4,250.0
0.0,4,2,2,1,0.0
0.0,7,6,7,5,0.0
0.0,4,4,2,2,0.0
0.0,5,6,4,2,20.0
0.0,4,4,5,4,0.0
0.0,4,4,4,2,50.0
0.0,4,4,5,3,30.0
0.0,2,2,2,2,80.0
0.0,4,4,6,3,0.0
0.0,4,4,3,1,0.0
0.0,6,4,6,4,0.0
0.0,5,4,7,4,0.0
0.0,4,4,4,3,0.0
0.0,6,7,2,1,0.0
0.0,4,4,6,3,10.0
0.0,4,4,8,5,0.0
0.0,4,4,6,3,100.0
0.0,7,6,8,6,0.0
0.0,6,6,5,4,0.0
0.0,6,4,5,6,0.0
0.0,6,4,5,3,20.0
0.0,6,6,7,5,0.0
0.0,6,4,4,6,0.0
0.0,6,4,4,2,0.0
0.0,5,4,3,2,0.0
0.0,4,4,8,4,20.0
0.0,6,6,8,3,0.0
0.0,4,4,6,3,0.0
0.0,6,4,4,3,0.0
0.0,6,4,1,1,20.0
6.0,5,5,6,6,0.0
0.0,4,4,2,1,0.0
0.0,4,3,3,1,0.0
0.0,4,4,4,4,0.0
0.0,6,4,6,4,0.0
0.0,7,4,4,3,0.0
0.0,4,6,5,1,0.0
0.0,4,3,5,3,0.0
0.0,3,3,5,2,0.0
0.0,6,5,4,4,0.0
0.0,6,6,4,4,0.0
0.0,6,4,3,4,48.0
0.0,6,4,6,4,0.0
0.0,4,4,5,4,30.0
0.0,3,4,0,2,0.0
0.0,4,4,4,2,20.0
0.0,6,4,5,3,0.0
0.0,6,4,0,3,0.0
7.0,6,6,5,4,0.0
0.0,6,6,8,5,0.0
0.0,7,6,6,3,30.0
0.0,4,4,2,3,40.0
0.0,7,4,2,1,0.0
0.0,4,4,5,3,60.0
0.0,6,6,3,3,40.0
0.0,4,4,5,3,0.0
0.0,4,4,5,3,0.0
0.0,6,4,5,3,40.0
0.0,6,3,3,2,40.0
0.0,4,4,6,1,30.0
0.0,4,4,2,2,0.0
0.0,6,6,4,5,50.0
4.0,3,3,1,3,0.0
0.0,6,6,6,3,0.0
0.0,4,3,8,5,120.0
7.0,7,6,0,3,0.0
0.0,7,7,7,4,30.0
0.0,5,4,5,5,0.0
0.0,6,4,4,4,20.0
0.0,4,4,3,2,0.0
0.0,3,5,2,1,50.0
0.0,4,4,6,2,0.0
0.0,6,4,4,4,0.0
0.0,6,6,4,4,0.0
0.0,4,4,3,1,50.0
0.0,4,4,3,3,0.0
0.0,4,4,6,1,30.0
0.0,7,6,3,2,0.0
0.0,6,4,8,6,0.0
0.0,6,4,6,4,0.0
0.0,6,4,5,4,0.0
0.0,6,4,3,5,0.0
0.0,7,4,3,4,0.0
0.0,6,4,1,5,0.0
0.0,7,6,6,5,0.0
0.0,4,4,5,4,0.0
0.0,6,4,2,1,0.0
0.0,4,2,1,5,0.0
0.0,6,7,1,2,50.0
0.0,6,6,7,6,0.0
0.0,4,4,3,3,0.0
0.0,6,6,4,3,70.0
0.0,6,6,6,3,0.0
0.0,4,4,6,4,0.0
0.0,6,4,4,3,30.0
0.0,4,3,2,3,0.0
0.0,3,3,3,3,0.0
6.0,4,4,4,2,30.0
0.0,5,7,4,3,0.0
0.0,2,6,1,1,0.0
0.0,4,4,3,3,20.0
0.0,5,5,6,3,0.0
6.0,5,5,3,1,0.0
0.0,4,2,0,2,0.0
0.0,6,6,5,1,10.0
0.0,6,4,7,3,90.0
0.0,7,6,8,3,0.0
0.0,4,4,2,3,0.0
0.0,5,4,3,2,0.0
0.0,6,6,6,4,0.0
0.0,5,4,4,1,0.0
0.0,6,4,6,4,0.0
0.0,3,4,4,3,0.0
0.0,4,4,7,2,0.0
0.0,7,6,6,4,0.0
0.0,6,6,3,2,0.0
0.0,7,4,0,4,50.0
0.0,6,5,4,3,0.0
0.0,4,6,8,3,200.0
0.0,2,2,3,3,0.0
0.0,5,4,4,3,0.0
0.0,6,4,3,5,30.0
0.0,7,7,5,1,0.0
0.0,4,4,3,2,0.0
0.0,6,6,5,5,0.0
0.0,4,4,4,3,0.0
0.0,6,6,6,4,0.0
0.0,4,4,5,3,0.0
0.0,6,6,0,1,0.0
0.0,7,6,5,1,100.0
0.0,5,4,3,3,0.0
0.0,6,6,7,4,0.0
0.0,6,5,5,4,0.0
0.0,7,7,7,6,0.0
0.0,4,4,6,5,0.0
0.0,6,5,4,4,0.0
0.0,7,6,5,2,90.0
0.0,4,4,3,2,0.0
0.0,6,7,0,5,30.0
0.0,6,4,7,4,0.0
0.0,6,6,7,3,0.0
0.0,3,5,1,1,0.0
0.0,6,6,5,3,0.0
0.0,7,7,1,2,0.0
0.0,6,6,8,2,0.0
0.0,6,6,5,4,60.0
0.0,4,4,2,4,20.0
0.0,6,4,3,3,0.0
0.0,2,4,6,2,120.0
0.0,4,3,0,4,0.0
0.0,7,6,3,4,70.0
0.0,6,6,0,3,20.0
0.0,6,4,5,4,30.0
0.0,6,6,6,4,0.0
0.0,6,5,4,3,0.0
0.0,6,4,5,2,30.0
0.0,6,6,2,3,0.0
0.0,5,6,5,4,0.0
0.0,4,4,4,3,0.0
0.0,7,6,6,4,20.0
0.0,2,3,6,2,0.0
0.0,6,6,6,5,0.0
0.0,6,4,6,2,100.0
0.0,6,6,1,1,50.0
0.0,7,7,4,3,0.0
0.0,6,4,1,1,0.0
0.0,4,4,4,3,0.0
0.0,6,6,6,4,0.0
6.0,4,4,5,4,0.0
0.0,6,4,4,2,30.0
0.0,4,4,5,4,0.0
0.0,4,4,6,4,30.0
0.0,6,6,8,6,0.0
0.0,7,6,6,5,100.0
0.0,6,6,3,2,0.0
0.0,4,4,6,5,0.0
0.0,5,6,4,3,0.0
0.0,4,5,3,1,120.0
0.0,4,4,1,3,0.0
0.0,6,4,6,5,0.0
0.0,3,4,4,4,0.0
0.0,6,4,2,3,0.0
0.0,4,4,8,6,50.0
0.0,6,4,2,3,0.0
0.0,5,4,2,1,30.0
6.0,4,4,0,0,0.0
0.0,4,5,7,2,60.0
0.0,7,5,8,5,40.0
0.0,4,4,6,3,0.0
0.0,7,5,2,2,600.0
0.0,7,6,2,1,0.0
0.0,6,7,4,1,0.0
0.0,5,4,2,3,0.0
0.0,6,4,3,4,50.0
0.0,4,4,3,1,30.0
0.0,2,4,6,4,0.0
0.0,6,4,3,1,20.0
0.0,4,4,5,3,60.0
0.0,4,4,6,2,40.0
0.0,3,3,3,2,0.0
0.0,7,6,4,3,0.0
0.0,4,2,2,1,0.0
0.0,4,4,2,1,30.0
0.0,7,7,6,4,0.0
0.0,6,6,5,6,55.0
0.0,4,4,2,1,0.0
0.0,6,4,4,3,30.0
0.0,7,4,6,5,40.0
0.0,6,4,8,6,50.0
0.0,6,4,3,4,0.0
0.0,4,4,4,4,20.0
0.0,6,7,6,4,30.0
0.0,4,4,5,4,0.0
0.0,4,4,4,2,0.0
0.0,4,3,6,2,40.0
0.0,6,5,6,3,50.0
0.0,4,4,5,4,0.0
0.0,6,4,4,4,0.0
0.0,5,4,4,3,0.0
0.0,5,4,5,1,20.0
0.0,7,6,6,4,0.0
0.0,4,4,2,3,0.0
0.0,6,6,6,4,0.0
0.0,2,2,3,2,0.0
0.0,6,4,2,3,50.0
0.0,4,4,4,1,0.0
0.0,5,6,4,1,0.0
0.0,6,6,5,5,0.0
0.0,3,3,3,3,0.0
0.0,4,4,3,3,0.0
0.0,7,6,7,5,40.0
0.0,7,6,5,2,0.0
0.0,6,4,5,6,0.0
6.0,4,6,8,6,0.0
0.0,4,4,6,6,70.0
0.0,6,6,3,1,20.0
0.0,6,5,4,2,0.0
0.0,6,6,5,5,50.0
0.0,6,6,5,3,50.0
0.0,4,6,5,3,0.0
0.0,7,4,7,5,0.0
6.0,3,4,3,3,0.0
0.0,5,4,8,4,0.0
0.0,4,4,2,1,0.0
0.0,4,4,5,4,0.0
0.0,6,4,3,3,0.0
0.0,6,7,8,5,0.0
0.0,4,4,3,3,30.0
4.0,4,4,4,2,0.0
0.0,7,6,8,3,10.0
0.0,6,6,7,3,0.0
0.0,7,6,8,2,0.0
0.0,4,4,5,4,0.0
0.0,4,4,7,2,30.0
0.0,4,4,4,2,0.0
0.0,4,4,0,3,20.0
0.0,6,6,7,5,0.0
0.0,4,4,8,5,0.0
0.0,5,4,5,4,0.0
0.0,6,6,6,4,0.0
0.0,6,6,6,3,0.0
0.0,7,6,7,4,100.0
0.0,6,6,6,6,0.0
0.0,6,4,5,5,0.0
0.0,6,6,2,3,30.0
0.0,6,6,3,3,0.0
0.0,6,7,3,1,0.0
0.0,6,6,6,5,0.0
0.0,4,3,3,3,0.0
0.0,3,6,3,1,0.0
0.0,4,5,0,5,0.0
0.0,4,4,5,2,0.0
0.0,4,6,5,2,0.0
0.0,2,2,4,3,0.0
0.0,5,4,5,2,0.0
0.0,5,4,5,3,0.0
0.0,4,4,6,5,0.0
0.0,6,4,7,5,0.0
0.0,6,6,4,3,0.0
0.0,7,5,7,6,0.0
0.0,6,6,4,2,0.0
5.0,6,4,1,2,0.0
0.0,4,4,6,2,30.0
0.0,4,3,4,3,0.0
0.0,4,6,3,2,0.0
0.0,4,4,5,1,0.0
0.0,2,3,3,2,0.0
0.0,6,6,6,3,0.0
0.0,4,4,4,2,0.0
6.0,4,5,3,4,0.0
0.0,6,6,6,4,0.0
0.0,6,6,8,6,0.0
0.0,4,4,1,2,0.0
0.0,6,6,7,4,0.0
7.0,6,4,5,3,0.0
6.0,3,3,0,3,0.0
0.0,6,6,5,2,0.0
0.0,4,6,0,0,0.0
0.0,7,6,7,5,70.0
0.0,4,4,5,4,0.0
0.0,4,5,4,3,30.0
0.0,7,6,6,4,0.0
0.0,4,4,6,3,0.0
0.0,6,4,3,1,0.0
0.0,4,4,6,4,0.0
0.0,4,4,4,3,30.0
0.0,6,6,5,3,0.0
6.0,4,4,0,0,30.0
0.0,4,4,0,6,0.0
0.0,7,4,6,6,0.0
0.0,7,6,5,1,0.0
0.0,5,4,4,2,0.0
0.0,3,2,3,2,0.0
0.0,6,4,5,3,0.0
0.0,4,4,5,2,0.0
0.0,6,6,6,4,0.0
0.0,4,4,3,3,0.0
0.0,6,4,0,3,0.0
0.0,6,6,4,5,0.0
0.0,6,3,2,1,0.0
0.0,7,2,3,3,0.0
0.0,6,5,6,3,50.0
0.0,6,4,4,2,0.0
0.0,6,4,4,2,20.0
0.0,4,4,4,3,30.0
0.0,6,7,6,4,0.0
0.0,5,6,6,4,0.0
0.0,6,6,6,4,0.0
0.0,4,4,6,4,0.0
0.0,4,4,7,3,0.0
0.0,5,4,6,6,0.0
0.0,6,6,5,3,40.0
0.0,4,4,3,2,40.0
0.0,6,6,3,2,0.0
0.0,5,5,6,4,0.0
0.0,4,2,3,4,0.0
0.0,6,6,8,5,0.0
0.0,4,3,3,1,0.0
0.0,5,4,5,5,50.0
0.0,4,4,8,6,50.0
0.0,6,6,6,6,0.0
0.0,4,4,4,4,0.0
0.0,6,6,6,5,30.0
0.0,7,6,0,3,0.0
0.0,4,4,6,3,0.0
0.0,4,4,5,2,0.0
0.0,3,4,4,5,0.0
0.0,6,4,5,4,0.0
0.0,6,6,3,2,0.0
0.0,5,4,3,1,0.0
0.0,4,4,5,3,0.0
0.0,4,4,7,4,40.0
0.0,6,4,0,2,0.0
0.0,4,4,4,2,0.0
0.0,6,4,3,3,0.0
0.0,4,4,8,4,0.0
0.0,4,7,4,4,0.0
0.0,4,4,3,2,20.0
0.0,6,4,7,4,0.0
0.0,6,5,4,2,0.0
0.0,7,6,6,4,0.0
0.0,4,4,6,5,0.0
0.0,5,6,3,4,0.0
0.0,2,4,1,2,0.0
0.0,6,4,8,6,0.0
0.0,5,5,4,3,0.0
0.0,4,4,4,5,30.0
0.0,4,5,4,4,0.0
0.0,6,4,2,2,0.0
0.0,7,6,3,5,40.0
0.0,6,4,3,3,0.0
0.0,6,4,6,5,0.0
0.0,6,7,8,6,0.0
0.0,6,6,2,1,0.0
0.0,6,7,6,4,70.0
0.0,7,7,7,6,0.0
0.0,6,4,5,1,0.0
0.0,6,6,6,3,0.0
0.0,4,5,8,5,50.0
0.0,4,4,4,2,0.0
0.0,6,6,8,5,0.0
0.0,6,4,8,6,0.0
0.0,4,4,5,4,40.0
0.0,5,2,4,2,0.0
0.0,6,4,4,2,30.0
0.0,7,6,4,1,0.0
0.0,7,4,5,4,0.0
0.0,5,4,4,1,0.0
0.0,6,6,7,4,0.0
0.0,6,4,6,5,0.0
0.0,6,6,8,4,0.0
0.0,4,4,3,2,35.0
0.0,4,4,1,3,0.0
0.0,4,4,4,2,50.0
0.0,4,4,6,1,0.0
0.0,4,4,5,2,0.0
0.0,4,6,6,5,0.0
0.0,6,6,5,5,10.0
0.0,2,7,3,3,0.0
0.0,3,2,8,6,0.0
0.0,6,6,2,1,0.0
0.0,4,3,3,3,0.0
0.0,4,6,5,2,0.0
0.0,6,4,3,2,0.0
0.0,4,4,3,3,0.0
0.0,4,4,5,4,0.0
0.0,6,4,2,1,0.0
0.0,4,5,5,4,0.0
0.0,7,5,4,5,0.0
0.0,6,6,4,3,0.0
0.0,6,6,7,5,0.0
0.0,6,6,5,4,0.0
0.0,3,2,3,2,0.0
0.0,4,4,4,2,0.0
0.0,6,6,6,6,0.0
0.0,7,6,6,4,55.0
6.0,3,3,4,1,0.0
0.0,6,6,3,3,0.0
0.0,4,4,6,3,35.0
0.0,4,4,4,4,0.0
0.0,6,6,3,4,0.0
0.0,5,4,3,1,5.0
0.0,4,4,6,3,0.0
0.0,4,4,5,3,0.0
0.0,6,4,0,0,0.0
0.0,4,4,4,1,0.0
0.0,5,4,2,3,0.0
0.0,3,3,3,2,0.0
0.0,4,5,0,5,0.0
0.0,6,6,5,3,0.0
0.0,5,4,3,5,0.0
0.0,3,4,4,3,0.0
0.0,6,6,5,3,0.0
0.0,4,4,6,2,0.0
0.0,6,4,7,3,0.0
0.0,4,4,4,3,50.0
0.0,6,4,5,0,0.0
0.0,4,4,3,2,0.0
0.0,6,6,6,4,0.0
0.0,4,4,5,3,50.0
0.0,5,4,8,2,50.0
0.0,2,2,4,2,0.0
0.0,6,4,4,4,0.0
0.0,4,4,4,1,0.0
0.0,6,6,5,4,0.0
0.0,4,5,5,4,0.0
0.0,4,5,1,1,0.0
0.0,4,4,5,3,0.0
0.0,6,4,5,3,0.0
0.0,4,4,6,1,20.0
0.0,4,4,8,2,20.0
0.0,5,4,4,2,0.0
0.0,4,4,7,5,0.0
0.0,4,4,3,3,0.0
0.0,4,4,0,5,0.0
0.0,4,4,7,6,0.0
0.0,7,4,6,2,0.0
0.0,2,2,1,2,0.0
0.0,4,4,4,4,80.0
0.0,6,6,3,1,0.0
0.0,6,5,2,1,0.0
0.0,6,4,6,4,0.0
0.0,4,4,5,3,30.0
0.0,7,6,6,1,0.0
0.0,6,6,4,5,0.0
0.0,4,4,7,2,0.0
4.0,3,2,0,1,0.0
0.0,5,4,6,4,0.0
0.0,6,4,0,6,30.0
0.0,1,1,2,2,0.0
0.0,6,6,5,4,0.0
0.0,4,4,1,1,0.0
0.0,6,6,2,3,0.0
0.0,5,4,5,3,20.0
0.0,7,6,1,2,0.0
0.0,4,4,7,4,30.0
0.0,4,5,0,1,0.0
0.0,6,6,1,1,0.0
0.0,6,4,7,5,0.0
0.0,5,4,3,5,0.0
0.0,3,2,2,2,0.0
0.0,6,4,6,5,0.0
0.0,4,4,2,2,0.0
0.0,4,4,5,4,0.0
0.0,4,4,4,2,0.0
0.0,4,4,2,3,0.0
0.0,4,4,6,5,0.0
0.0,6,5,6,4,40.0
0.0,6,4,7,2,0.0
0.0,4,4,5,1,0.0
0.0,4,4,3,4,0.0
0.0,4,4,4,2,0.0
0.0,4,4,4,4,0.0
0.0,4,4,5,1,50.0
0.0,6,6,5,3,0.0
0.0,6,6,7,6,100.0
0.0,4,4,2,1,0.0
0.0,7,4,1,1,0.0
0.0,6,4,6,6,0.0
0.0,6,6,7,3,0.0
0.0,4,4,2,1,0.0
0.0,4,4,4,2,0.0
0.0,4,3,3,3,70.0
0.0,5,5,3,1,20.0
0.0,6,4,5,3,50.0
0.0,6,4,4,1,0.0
0.0,4,4,7,4,0.0
0.0,3,2,2,2,0.0
0.0,6,5,3,2,0.0
0.0,4,4,4,4,0.0
0.0,4,4,6,5,0.0
0.0,4,4,4,3,0.0
0.0,3,2,2,2,0.0
0.0,6,4,3,4,0.0
0.0,4,4,4,3,80.0
0.0,4,4,4,2,0.0
0.0,3,2,0,2,30.0
0.0,6,6,7,4,0.0
0.0,6,4,5,6,0.0
0.0,7,4,8,3,0.0
0.0,7,6,7,5,60.0
0.0,6,4,5,5,0.0
0.0,4,4,8,5,0.0
0.0,3,4,3,3,0.0
0.0,6,6,8,6,50.0
